 time            v(out)          i(Lboost)       v(anode)       
 1.48750000e-06  4.84679059e+02  1.76318320e+01  4.85485589e+02 
 1.49250000e-06  4.84866580e+02  1.76230577e+01  4.85673089e+02 
 1.49750000e-06  4.85054007e+02  1.76142782e+01  4.85860494e+02 
 1.50250000e-06  4.85241341e+02  1.76054935e+01  4.86047807e+02 
 1.50750000e-06  4.85428582e+02  1.75967037e+01  4.86235026e+02 
 1.51250000e-06  4.85615729e+02  1.75879086e+01  4.86422151e+02 
 1.51750000e-06  4.85802782e+02  1.75791083e+01  4.86609183e+02 
 1.52250000e-06  4.85989742e+02  1.75703028e+01  4.86796121e+02 
 1.52750000e-06  4.86176608e+02  1.75614922e+01  4.86982965e+02 
 1.53250000e-06  4.86363381e+02  1.75526763e+01  4.87169716e+02 
 1.53750000e-06  4.86550059e+02  1.75438553e+01  4.87356373e+02 
 1.54250000e-06  4.86736644e+02  1.75350290e+01  4.87542935e+02 
 1.54750000e-06  4.86923135e+02  1.75261976e+01  4.87729404e+02 
 1.55250000e-06  4.87109532e+02  1.75173611e+01  4.87915779e+02 
 1.55750000e-06  4.87295834e+02  1.75085193e+01  4.88102060e+02 
 1.56250000e-06  4.87482043e+02  1.74996724e+01  4.88288247e+02 
 1.56750000e-06  4.87668157e+02  1.74908203e+01  4.88474339e+02 
 1.57250000e-06  4.87854178e+02  1.74819630e+01  4.88660338e+02 
 1.57750000e-06  4.88040104e+02  1.74731006e+01  4.88846242e+02 
 1.58250000e-06  4.88225936e+02  1.74642330e+01  4.89032052e+02 
 1.58750000e-06  4.88411673e+02  1.74553602e+01  4.89217767e+02 
 1.59250000e-06  4.88597316e+02  1.74464823e+01  4.89403388e+02 
 1.59750000e-06  4.88782864e+02  1.74375992e+01  4.89588914e+02 
 1.60250000e-06  4.88968318e+02  1.74287110e+01  4.89774346e+02 
 1.60750000e-06  4.89153678e+02  1.74198176e+01  4.89959683e+02 
 1.61250000e-06  4.89338942e+02  1.74109191e+01  4.90144926e+02 
 1.61750000e-06  4.89524112e+02  1.74020155e+01  4.90330074e+02 
 1.62250000e-06  4.89709188e+02  1.73931066e+01  4.90515127e+02 
 1.62750000e-06  4.89894168e+02  1.73841927e+01  4.90700085e+02 
 1.63250000e-06  4.90079054e+02  1.73752736e+01  4.90884949e+02 
 1.63750000e-06  4.90263845e+02  1.73663494e+01  4.91069717e+02 
 1.64250000e-06  4.90448540e+02  1.73574201e+01  4.91254391e+02 
 1.64750000e-06  4.90633141e+02  1.73484856e+01  4.91438969e+02 
 1.65250000e-06  4.90817647e+02  1.73395460e+01  4.91623453e+02 
 1.65750000e-06  4.91002057e+02  1.73306013e+01  4.91807841e+02 
 1.66250000e-06  4.91186372e+02  1.73216514e+01  4.91992134e+02 
 1.66750000e-06  4.91370593e+02  1.73126965e+01  4.92176332e+02 
