time_s v_ac_v i_ac_a v_load_v i_load_a v_b_v i_l_a v_d_v v_ds_v v_gs_v armed on
1.96673068227121481e-5 1.25825387520472076e0 4.43443230313533832e-5 3.15925362526055090e-18 1.66276506592660570e-20 1.66276506624253120e-8 3.49360633892232652e-5 1.02034498887773927e-7 4.36246326840912746e-1 8.57045985812420998e-5 0.00000000000000000e0 0.00000000000000000e0
2.01673068227121468e-5 1.29024173055661318e0 4.43196634125619937e-5 3.40102412327147770e-18 1.79001269645867233e-20 1.79001269679877486e-8 3.49854304488981759e-5 1.03506436477774407e-7 4.68206857506383467e-1 8.58335688369411359e-5 0.00000000000000000e0 0.00000000000000000e0
2.06673068227121454e-5 1.32222954006547488e0 4.42790367547463148e-5 3.64336741210090389e-18 1.91756179584258102e-20 1.91756179620691762e-8 3.50193098760446760e-5 1.04987392102845012e-7 5.00198396019720937e-1 8.59049179248822729e-5 0.00000000000000000e0 0.00000000000000000e0
2.11673068227121440e-5 1.35421730259475903e0 4.42327697591782254e-5 3.88645105174869387e-18 2.04550055355194422e-20 2.04550055394058921e-8 3.50490877604996487e-5 1.06584768578751027e-7 5.32201225246005105e-1 8.59245497254208096e-5 0.00000000000000000e0 0.00000000000000000e0
2.16673068227121426e-5 1.38620501700792298e0 4.41930392598433031e-5 4.13091162108005465e-18 2.17416401109476554e-20 2.17416401150785693e-8 3.50868915996642322e-5 1.08527164648485846e-7 5.64191132318931476e-1 8.58757110827815110e-5 0.00000000000000000e0 0.00000000000000000e0
2.21673068227121412e-5 1.41819268216842520e0 4.41798846180230242e-5 4.37843387758586830e-18 2.30443888293993066e-20 2.30443888337777409e-8 3.51565047236001744e-5 1.11339647695199426e-7 5.96123642506029339e-1 8.56942018279761083e-5 0.00000000000000000e0 0.00000000000000000e0
2.26673068227121398e-5 1.45018029693972417e0 4.42389531576381501e-5 4.63315608952025064e-18 2.43850320501065833e-20 2.43850320547397391e-8 3.53123213939334496e-5 1.16263333974333003e-7 6.27902680273661917e-1 8.52221256957787010e-5 0.00000000000000000e0 0.00000000000000000e0
2.30644287944371332e-5 1.47558622957895547e0 4.43976652164668195e-5 4.84625732620677438e-18 2.55066175063514450e-20 2.55066175111977030e-8 3.55696312470683067e-5 1.23411132917788648e-7 6.52904047209634131e-1 8.44052729346024251e-5 0.00000000000000000e0 0.00000000000000000e0
2.32355402340694141e-5 1.48653309724945637e0 4.45177145147468423e-5 4.94296612103250302e-18 2.60156111633289621e-20 2.60156111682719305e-8 3.57424279650311478e-5 1.27997159847578806e-7 6.63565767182716870e-1 8.38432183728803017e-5 0.00000000000000000e0 0.00000000000000000e0
2.32356402340694143e-5 1.48653949475543645e0 4.45177958792175588e-5 4.94302379334485623e-18 2.60159147018150333e-20 2.60159147067580594e-8 3.57425438666784836e-5 1.28000203956078834e-7 6.63571971421282325e-1 8.38428380840317808e-5 0.00000000000000000e0 0.00000000000000000e0
2.32358402340694148e-5 1.48655228976739107e0 4.45179579500187828e-5 4.94313914106958879e-18 2.60165217951030975e-20 2.60165218000462398e-8 3.57427757106680265e-5 1.28006293149253709e-7 6.63584379826846704e-1 8.38420773700633196e-5 0.00000000000000000e0 0.00000000000000000e0
2.32362402340694156e-5 1.48657787979127387e0 4.45182838071378484e-5 4.94336985512571424e-18 2.60177360796090230e-20 2.60177360845523941e-8 3.57432396429026490e-5 1.28018477391248474e-7 6.63609196208600705e-1 8.38405551258355824e-5 0.00000000000000000e0 0.00000000000000000e0
2.32365402340694129e-5 1.48659707230916394e0 4.45185292652361397e-5 4.94354290695575416e-18 2.60186468787144970e-20 2.60186468836580390e-8 3.57435878058974077e-5 1.28027620698197199e-7 6.63627808119032547e-1 8.38394127279692004e-5 0.00000000000000000e0 0.00000000000000000e0
2.32366202340694117e-5 1.48660219031393126e0 4.45185950919135820e-5 4.94358905696609922e-18 2.60188897735057863e-20 2.60188897784493750e-8 3.57436806868493743e-5 1.28030059811848408e-7 6.63632771229244134e-1 8.38391079632167712e-5 0.00000000000000000e0 0.00000000000000000e0
2.32367802340694128e-5 1.48661242632346235e0 4.45187263842239389e-5 4.94368135897413873e-18 2.60193755735480993e-20 2.60193755784917823e-8 3.57438664748428980e-5 1.28034938664510431e-7 6.63642697403823978e-1 8.38384983466972480e-5 0.00000000000000000e0 0.00000000000000000e0
2.32371002340694114e-5 1.48663289834250767e0 4.45189893363284739e-5 4.94386597491766290e-18 2.60203472364087520e-20 2.60203472413526205e-8 3.57442382074132624e-5 1.28044700122142869e-7 6.63662549477676222e-1 8.38372785898521054e-5 0.00000000000000000e0 0.00000000000000000e0
2.32377402340694122e-5 1.48667384238053368e0 4.45195167482204113e-5 4.94423525454788671e-18 2.60222908134099289e-20 2.60222908183541648e-8 3.57449822993471101e-5 1.28064238057534307e-7 6.63702252523874159e-1 8.38348369841225642e-5 0.00000000000000000e0 0.00000000000000000e0
2.32390202340694102e-5 1.48675573045632659e0 4.45205753458743914e-5 4.94497400504851783e-18 2.60261789739395663e-20 2.60261789788845424e-8 3.57464729940909628e-5 1.28103374081489439e-7 6.63781654204746441e-1 8.38299453997437874e-5 0.00000000000000000e0 0.00000000000000000e0
2.32415802340694063e-5 1.48691950660687366e0 4.45227029370887095e-5 4.94645227315513798e-18 2.60339593323954632e-20 2.60339593373419160e-8 3.57494644569008089e-5 1.28181887313336006e-7 6.63940439873947907e-1 8.38201286790867754e-5 0.00000000000000000e0 0.00000000000000000e0
2.32467002340693986e-5 1.48724705890381248e0 4.45269920448243539e-5 4.94941189502063901e-18 2.60495362895823101e-20 2.60495362945317218e-8 3.57554879151617905e-5 1.28339883159054863e-7 6.64257940082049303e-1 8.38003606628631584e-5 0.00000000000000000e0 0.00000000000000000e0
2.32565402340694161e-5 1.48787657345893476e0 4.45353610272203326e-5 4.95511159592764051e-18 2.60795347154086348e-20 2.60795347203637456e-8 3.57672177295788443e-5 1.28647194344291672e-7 6.64867866861038159e-1 8.37618623446963694e-5 0.00000000000000000e0 0.00000000000000000e0
2.32566402340694163e-5 1.48788297096447120e0 4.45354473646020210e-5 4.95516959973249018e-18 2.60798399985920546e-20 2.60798400035472230e-8 3.57673379868949395e-5 1.28650342507167542e-7 6.64874063461943776e-1 8.37614676376836084e-5 0.00000000000000000e0 0.00000000000000000e0
2.32568402340694168e-5 1.48789576597553785e0 4.45356192038115495e-5 4.95528561055793862e-18 2.60804505818838884e-20 2.60804505868391733e-8 3.57675785438185161e-5 1.28656639839711008e-7 6.64886456589764863e-1 8.37606780848328694e-5 0.00000000000000000e0 0.00000000000000000e0
2.32572402340694143e-5 1.48792135599764519e0 4.45359630492081493e-5 4.95551765151004551e-18 2.60816718500528706e-20 2.60816718550083903e-8 3.57680599115057496e-5 1.28669240547583159e-7 6.64911242401371672e-1 8.37590981464544194e-5 0.00000000000000000e0 0.00000000000000000e0
2.32575402340694115e-5 1.48794054851420321e0 4.45362211174415989e-5 4.95569169912003578e-18 2.60825878901054523e-20 2.60825878950611448e-8 3.57684211594816727e-5 1.28678696368083110e-7 6.64929831371428248e-1 8.37579124642499282e-5 0.00000000000000000e0 0.00000000000000000e0
2.32576202340694103e-5 1.48794566651861571e0 4.45362902594670373e-5 4.95573811477828303e-18 2.60828321830435952e-20 2.60828321879993353e-8 3.57685175312333771e-5 1.28681218847515633e-7 6.64934788361982609e-1 8.37575961547295633e-5 0.00000000000000000e0 0.00000000000000000e0
2.32577802340694080e-5 1.48795590252743626e0 4.45364279677562536e-5 4.95583094815630141e-18 2.60833207797700074e-20 2.60833207847258377e-8 3.57687103018503307e-5 1.28686264451663243e-7 6.64944702295666601e-1 8.37569634467710551e-5 0.00000000000000000e0 0.00000000000000000e0
2.32581002340694067e-5 1.48797637454506115e0 4.45367035177834936e-5 4.95601662728490424e-18 2.60842980383416018e-20 2.60842980432976173e-8 3.57690960058126028e-5 1.28696359532412149e-7 6.64964529878374178e-1 8.37556974969028189e-5 0.00000000000000000e0 0.00000000000000000e0
2.32587402340694040e-5 1.48801731858024633e0 4.45372552473344285e-5 4.95638803506684994e-18 2.60862528161413167e-20 2.60862528210977054e-8 3.57698680651208318e-5 1.28716565194754538e-7 6.65004183904801427e-1 8.37531634640395955e-5 0.00000000000000000e0 0.00000000000000000e0
2.32600202340693987e-5 1.48809920665035644e0 4.45383609788407853e-5 4.95713104900576572e-18 2.60901634158198185e-20 2.60901634207769504e-8 3.57714147930346369e-5 1.28757038598052693e-7 6.65083487396044615e-1 8.37480868605549206e-5 0.00000000000000000e0 0.00000000000000000e0
