 time                     v(out)                  
 1.79049999999994903e-03  8.33123311916005416e-01 
 1.79149999999994895e-03  8.33290105207443399e-01 
 1.79249999999994887e-03  8.33456731788945082e-01 
 1.79349999999994878e-03  8.33623191827136845e-01 
 1.79449999999994870e-03  8.33789485488478865e-01 
 1.79549999999994861e-03  8.33955612939264901e-01 
 1.79649999999994853e-03  8.34121574345622285e-01 
 1.79749999999994844e-03  8.34287369873512596e-01 
 1.79849999999994836e-03  8.34452999688731434e-01 
 1.79949999999994828e-03  8.34618463956908307e-01 
 1.80049999999994819e-03  8.34783762843507748e-01 
 1.80149999999994811e-03  8.34948896513828864e-01 
 1.80249999999994802e-03  8.35113865133005229e-01 
 1.80349999999994794e-03  8.35278668866005658e-01 
 1.80449999999994786e-03  8.35443307877633656e-01 
 1.80549999999994777e-03  8.35607782332528415e-01 
 1.80649999999994769e-03  8.35772092395164368e-01 
 1.80749999999994760e-03  8.35936238229851858e-01 
 1.80849999999994752e-03  8.36100220000736361e-01 
 1.80949999999994744e-03  8.36264037871799926e-01 
 1.81049999999994735e-03  8.36427692006860513e-01 
 1.81149999999994727e-03  8.36591182569572211e-01 
 1.81249999999994718e-03  8.36754509723425688e-01 
 1.81349999999994710e-03  8.36917673631747960e-01 
 1.81449999999994701e-03  8.37080674457702956e-01 
 1.81549999999994693e-03  8.37243512364291731e-01 
 1.81649999999994685e-03  8.37406187514352252e-01 
 1.81749999999994676e-03  8.37568700070559613e-01 
 1.81849999999994668e-03  8.37731050195426374e-01 
 1.81949999999994659e-03  8.37893238051302780e-01 
 1.82049999999994651e-03  8.38055263800376871e-01 
 1.82149999999994643e-03  8.38217127604674150e-01 
 1.82249999999994634e-03  8.38378829626058697e-01 
 1.82349999999994626e-03  8.38540370026232385e-01 
 1.82449999999994617e-03  8.38701748966735550e-01 
 1.82549999999994609e-03  8.38862966608947436e-01 
 1.82649999999994601e-03  8.39024023114085749e-01 
 1.82749999999994592e-03  8.39184918643207101e-01 
 1.82849999999994584e-03  8.39345653357206678e-01 
 1.82949999999994575e-03  8.39506227416819462e-01 
 1.83049999999994567e-03  8.39666640982619450e-01 
 1.83149999999994558e-03  8.39826894215020436e-01 
 1.83249999999994550e-03  8.39986987274275676e-01 
 1.83349999999994542e-03  8.40146920320478108e-01 
 1.83449999999994533e-03  8.40306693513560798e-01 
 1.83549999999994525e-03  8.40466307013297165e-01 
