 time                     v(raw)                   v(pwm_hold)              v(blank)                 v(pwm)                   v(pwm_input)             v(driver_out)            v(gate)                  v(xdriver.pwm_state)     v(xdriver.driver_req)    v(xdriver.drv_delay)    
 5.01554920866119192e-01  5.00000000000000000e+00  5.00000000000000000e+00  3.85547702694425927e-03  1.50000000000000000e+01  1.35826771653543297e+01  2.72476868866962096e+00  4.87962891720953376e-02  9.99990000099998944e-01  1.49999999999999716e+01  2.99236592861937378e+00 
 5.01554922219077270e-01  5.00000000000000000e+00  5.00000000000000000e+00  5.20843514038837017e-03  1.50000000000000000e+01  1.35826771653543297e+01  3.46891032682342226e+00  8.27309387173194716e-02  9.99990000099998944e-01  1.49999999999999716e+01  3.80752826563403346e+00 
 5.01554923897413740e-01  5.00000000000000000e+00  5.00000000000000000e+00  6.88677162008998704e-03  1.50000000000000000e+01  1.35826771653543297e+01  4.31597746387613590e+00  1.35275176724032747e-01  9.99990000099998944e-01  1.49999999999999716e+01  4.73404769259134639e+00 
 5.01554925881319003e-01  5.00000000000000000e+00  5.00000000000000000e+00  8.87067690178279869e-03  1.50000000000000000e+01  1.35826771653543297e+01  5.21872034570751708e+00  2.10697770299817649e-01  9.99990000099998944e-01  1.49999999999999716e+01  5.71952260324828821e+00 
 5.01554928283305390e-01  5.00000000000000000e+00  5.00000000000000000e+00  1.12726633015699899e-02  1.50000000000000000e+01  1.35826771653543297e+01  6.18477909004872650e+00  3.18761995552557464e-01  9.99990000099998944e-01  1.49999999999999716e+01  6.77138079949834371e+00 
 5.01554931105629653e-01  5.00000000000000000e+00  5.00000000000000000e+00  1.40949876190342958e-02  1.50000000000000000e+01  1.35826771653543297e+01  7.16535047601012565e+00  4.65490420305118335e-01  9.99990000099998944e-01  1.49999999999999716e+01  7.83533648158062768e+00 
 5.01554934483862347e-01  5.00000000000000000e+00  5.00000000000000000e+00  1.74732202958034384e-02  1.50000000000000000e+01  1.35826771653543297e+01  8.15331761984582037e+00  6.63807331721299132e-01  9.99990000099998944e-01  1.49999999999999716e+01  8.90226864865827316e+00 
 5.01554938460101685e-01  5.00000000000000000e+00  5.00000000000000000e+00  2.14494596225401450e-02  1.50000000000000000e+01  1.35826771653543297e+01  9.10304311741293937e+00  9.21597120080577259e-01  9.99990000099998944e-01  1.49999999999999716e+01  9.92118771714617509e+00 
 5.01554943220221316e-01  5.00000000000000000e+00  5.00000000000000000e+00  2.62095792501694652e-02  1.50000000000000000e+01  1.35826771653543297e+01  1.00001466251268241e+01  1.25492761896081007e+00  9.99990000099998944e-01  1.49999999999999716e+01  1.08746685257434272e+01 
 5.01554948885285290e-01  5.00000000000000000e+00  5.00000000000000000e+00  3.18746432549237776e-02  1.50000000000000000e+01  1.35826771653543297e+01  1.08093001287473705e+01  1.67396831557544390e+00  9.99990000099998944e-01  1.49999999999999716e+01  1.17228333100645621e+01 
 5.01554955675227121e-01  5.00000000000000000e+00  5.00000000000000000e+00  3.86645850860653437e-02  1.50000000000000000e+01  1.35826771653543297e+01  1.15126845912713129e+01  2.19234626096570473e+00  9.99990000099998944e-01  1.49999999999999716e+01  1.24447184243018754e+01 
 5.01554963115939278e-01  5.00000000000000000e+00  5.00000000000000000e+00  4.61052972194963551e-02  1.50000000000000000e+01  1.35826771653543297e+01  1.20538765384668345e+01  2.76509770874697214e+00  9.99990000099998944e-01  1.49999999999999716e+01  1.29827544214388215e+01 
 5.01554971838837238e-01  5.00000000000000000e+00  5.00000000000000000e+00  5.48281951928847044e-02  1.50000000000000000e+01  1.35826771653543297e+01  1.24913632533023478e+01  3.42725366914923191e+00  9.99990000099998944e-01  1.49999999999999716e+01  1.33977742117176604e+01 
 5.01554981759951168e-01  5.00000000000000000e+00  5.00000000000000000e+00  6.47493091651478586e-02  1.50000000000000000e+01  1.35826771653543297e+01  1.28296194012439724e+01  4.15509476382800624e+00  9.99990000099998944e-01  1.49999999999999716e+01  1.36970718649855687e+01 
 5.01554993799829374e-01  5.00000000000000000e+00  5.00000000000000000e+00  7.67891874132900776e-02  1.50000000000000000e+01  1.35826771653543297e+01  1.31103302659627019e+01  4.99122093568555414e+00  9.99990000099998944e-01  1.49999999999999716e+01  1.39222411989904185e+01 
 5.01555008180980533e-01  5.00000000000000000e+00  5.00000000000000000e+00  9.11703385925814735e-02  1.50000000000000000e+01  1.35826771653543297e+01  1.33457319945470463e+01  5.91578011062009690e+00  9.99990000099998944e-01  1.49999999999999716e+01  1.40887271829397420e+01 
 5.01555026579879937e-01  5.00000000000000000e+00  5.00000000000000000e+00  1.09569237946429129e-01  1.50000000000000000e+01  1.35826771653543297e+01  1.35685820065313028e+01  6.98183465802301040e+00  9.99990000099998944e-01  1.49999999999999716e+01  1.42272567413821314e+01 
 5.01555050431530369e-01  5.00000000000000000e+00  5.00000000000000000e+00  1.33420888336433174e-01  1.50000000000000000e+01  1.35826771653543297e+01  1.37930432065052120e+01  8.18391290943454663e+00  9.99990000099998944e-01  1.49999999999999716e+01  1.43539562362122801e+01 
 5.01555084374529669e-01  5.00000000000000000e+00  5.00000000000000000e+00  1.67363887605918915e-01  1.50000000000000000e+01  1.35826771653543297e+01  1.40448283292089187e+01  9.59421051171154993e+00  9.99990000099998944e-01  1.49999999999999716e+01  1.44898901109586564e+01 
 5.01555114485680686e-01  5.00000000000000000e+00  5.00000000000000000e+00  1.97475038622950461e-01  1.50000000000000000e+01  1.35826771653543297e+01  1.42221792013866946e+01  1.05977340865076251e+01  9.99990000099998944e-01  1.49999999999999716e+01  1.45846237128746026e+01 
