 time            v(out)          i(Lboost)       v(anode)       
 8.46002437e-07  4.35044202e+02  1.89104415e+01  4.35853822e+02 
 8.51002437e-07  4.35245340e+02  1.89035171e+01  4.36054944e+02 
 8.56002437e-07  4.35446405e+02  1.88965871e+01  4.36255992e+02 
 8.61002437e-07  4.35647395e+02  1.88896516e+01  4.36456966e+02 
 8.66002437e-07  4.35848312e+02  1.88827104e+01  4.36657866e+02 
 8.71002437e-07  4.36049155e+02  1.88757637e+01  4.36858693e+02 
 8.76002437e-07  4.36249924e+02  1.88688114e+01  4.37059445e+02 
 8.81002437e-07  4.36450619e+02  1.88618535e+01  4.37260124e+02 
 8.86002437e-07  4.36651240e+02  1.88548901e+01  4.37460728e+02 
 8.91002437e-07  4.36851787e+02  1.88479211e+01  4.37661259e+02 
 8.96002437e-07  4.37052259e+02  1.88409465e+01  4.37861715e+02 
 9.01002437e-07  4.37252658e+02  1.88339663e+01  4.38062097e+02 
 9.06002437e-07  4.37452982e+02  1.88269806e+01  4.38262404e+02 
 9.11002437e-07  4.37653232e+02  1.88199893e+01  4.38462637e+02 
 9.16002437e-07  4.37853407e+02  1.88129924e+01  4.38662796e+02 
 9.21002437e-07  4.38053508e+02  1.88059900e+01  4.38862880e+02 
 9.26002437e-07  4.38253535e+02  1.87989821e+01  4.39062890e+02 
 9.31002437e-07  4.38453487e+02  1.87919686e+01  4.39262825e+02 
 9.36002437e-07  4.38653364e+02  1.87849495e+01  4.39462686e+02 
 9.41002437e-07  4.38853166e+02  1.87779249e+01  4.39662472e+02 
 9.46002437e-07  4.39052894e+02  1.87708947e+01  4.39862183e+02 
 9.51002437e-07  4.39252547e+02  1.87638590e+01  4.40061819e+02 
 9.56002437e-07  4.39452125e+02  1.87568177e+01  4.40261380e+02 
 9.61002437e-07  4.39651628e+02  1.87497709e+01  4.40460867e+02 
 9.66002437e-07  4.39851056e+02  1.87427186e+01  4.40660278e+02 
 9.71002437e-07  4.40050409e+02  1.87356607e+01  4.40859614e+02 
 9.76002437e-07  4.40249687e+02  1.87285973e+01  4.41058875e+02 
 9.81002437e-07  4.40448890e+02  1.87215283e+01  4.41258061e+02 
 9.86002437e-07  4.40648018e+02  1.87144538e+01  4.41457172e+02 
 9.91002437e-07  4.40847070e+02  1.87073738e+01  4.41656207e+02 
 9.96002437e-07  4.41046047e+02  1.87002883e+01  4.41855167e+02 
 1.00100244e-06  4.41244948e+02  1.86931972e+01  4.42054052e+02 
 1.00600244e-06  4.41443774e+02  1.86861006e+01  4.42252861e+02 
 1.01100244e-06  4.41642525e+02  1.86789985e+01  4.42451595e+02 
 1.01600244e-06  4.41841200e+02  1.86718909e+01  4.42650253e+02 
 1.02100244e-06  4.42039799e+02  1.86647777e+01  4.42848835e+02 
 1.02600244e-06  4.42238323e+02  1.86576591e+01  4.43047342e+02 
 1.03100244e-06  4.42436770e+02  1.86505349e+01  4.43245773e+02 
 1.03600244e-06  4.42635142e+02  1.86434052e+01  4.43444128e+02 
 1.04100244e-06  4.42833439e+02  1.86362700e+01  4.43642407e+02 
 1.04600244e-06  4.43031659e+02  1.86291293e+01  4.43840610e+02 
 1.05100244e-06  4.43229803e+02  1.86219831e+01  4.44038737e+02 
 1.05600244e-06  4.43427871e+02  1.86148314e+01  4.44236788e+02 
 1.06100244e-06  4.43625863e+02  1.86076742e+01  4.44434763e+02 
 1.06600244e-06  4.43823779e+02  1.86005115e+01  4.44632662e+02 
 1.07100244e-06  4.44021619e+02  1.85933433e+01  4.44830484e+02 
 1.07600244e-06  4.44219382e+02  1.85861696e+01  4.45028230e+02 
 1.08100244e-06  4.44417069e+02  1.85789904e+01  4.45225900e+02 
 1.08600244e-06  4.44614680e+02  1.85718057e+01  4.45423494e+02 
 1.09100244e-06  4.44812214e+02  1.85646155e+01  4.45621010e+02 
 1.09600244e-06  4.45009671e+02  1.85574199e+01  4.45818451e+02 
 1.10100244e-06  4.45207052e+02  1.85502187e+01  4.46015815e+02 
 1.10600244e-06  4.45404357e+02  1.85430121e+01  4.46213102e+02 
 1.11100244e-06  4.45601585e+02  1.85358000e+01  4.46410312e+02 
 1.11600244e-06  4.45798735e+02  1.85285825e+01  4.46607446e+02 
 1.12100244e-06  4.45995810e+02  1.85213594e+01  4.46804503e+02 
 1.12600244e-06  4.46192807e+02  1.85141309e+01  4.47001483e+02 
 1.13100244e-06  4.46389727e+02  1.85068969e+01  4.47198386e+02 
 1.13600244e-06  4.46586571e+02  1.84996574e+01  4.47395212e+02 
 1.14100244e-06  4.46783337e+02  1.84924125e+01  4.47591961e+02 
 1.14600244e-06  4.46980026e+02  1.84851621e+01  4.47788632e+02 
 1.15100244e-06  4.47176638e+02  1.84779063e+01  4.47985227e+02 
 1.15600244e-06  4.47373173e+02  1.84706449e+01  4.48181745e+02 
 1.16100244e-06  4.47569631e+02  1.84633782e+01  4.48378185e+02 
 1.16600244e-06  4.47766011e+02  1.84561060e+01  4.48574547e+02 
 1.17100244e-06  4.47962314e+02  1.84488283e+01  4.48770833e+02 
 1.17600244e-06  4.48158539e+02  1.84415451e+01  4.48967041e+02 
 1.18100244e-06  4.48354687e+02  1.84342566e+01  4.49163171e+02 
