 time            v(out)          i(Lboost)       v(anode)       
 1.39301076e-06  4.55681609e+02  2.12642396e+01  4.56496617e+02 
 1.39801076e-06  4.55907782e+02  2.12562701e+01  4.56722772e+02 
 1.40301076e-06  4.56133870e+02  2.12482942e+01  4.56948842e+02 
 1.40801076e-06  4.56359873e+02  2.12403121e+01  4.57174828e+02 
 1.41301076e-06  4.56585791e+02  2.12323237e+01  4.57400728e+02 
 1.41801076e-06  4.56811624e+02  2.12243290e+01  4.57626544e+02 
 1.42301076e-06  4.57037373e+02  2.12163281e+01  4.57852274e+02 
 1.42801076e-06  4.57263036e+02  2.12083209e+01  4.58077920e+02 
 1.43301076e-06  4.57488613e+02  2.12003074e+01  4.58303480e+02 
 1.43801076e-06  4.57714106e+02  2.11922877e+01  4.58528954e+02 
 1.44301076e-06  4.57939513e+02  2.11842617e+01  4.58754344e+02 
 1.44801076e-06  4.58164835e+02  2.11762294e+01  4.58979648e+02 
 1.45301076e-06  4.58390071e+02  2.11681909e+01  4.59204866e+02 
 1.45801076e-06  4.58615222e+02  2.11601461e+01  4.59429999e+02 
 1.46301076e-06  4.58840287e+02  2.11520951e+01  4.59655046e+02 
 1.46801076e-06  4.59065266e+02  2.11440378e+01  4.59880007e+02 
 1.47301076e-06  4.59290160e+02  2.11359743e+01  4.60104883e+02 
 1.47801076e-06  4.59514968e+02  2.11279046e+01  4.60329673e+02 
 1.48301076e-06  4.59739690e+02  2.11198285e+01  4.60554377e+02 
 1.48801076e-06  4.59964326e+02  2.11117463e+01  4.60778995e+02 
 1.49301076e-06  4.60188876e+02  2.11036578e+01  4.61003527e+02 
 1.49801076e-06  4.60413340e+02  2.10955631e+01  4.61227973e+02 
 1.50301076e-06  4.60637717e+02  2.10874621e+01  4.61452333e+02 
 1.50801076e-06  4.60862009e+02  2.10793549e+01  4.61676606e+02 
 1.51301076e-06  4.61086214e+02  2.10712415e+01  4.61900794e+02 
 1.51801076e-06  4.61310333e+02  2.10631219e+01  4.62124894e+02 
 1.52301076e-06  4.61534366e+02  2.10549960e+01  4.62348909e+02 
 1.52801076e-06  4.61758312e+02  2.10468639e+01  4.62572837e+02 
 1.53301076e-06  4.61982171e+02  2.10387256e+01  4.62796678e+02 
 1.53801076e-06  4.62205944e+02  2.10305811e+01  4.63020433e+02 
 1.54301076e-06  4.62429630e+02  2.10224303e+01  4.63244101e+02 
 1.54801076e-06  4.62653230e+02  2.10142734e+01  4.63467682e+02 
 1.55301076e-06  4.62876743e+02  2.10061102e+01  4.63691177e+02 
 1.55801076e-06  4.63100168e+02  2.09979409e+01  4.63914584e+02 
 1.56301076e-06  4.63323507e+02  2.09897653e+01  4.64137905e+02 
 1.56801076e-06  4.63546759e+02  2.09815835e+01  4.64361138e+02 
 1.57301076e-06  4.63769924e+02  2.09733955e+01  4.64584285e+02 
 1.57801076e-06  4.63993001e+02  2.09652014e+01  4.64807344e+02 
 1.58301076e-06  4.64215992e+02  2.09570010e+01  4.65030316e+02 
 1.58801076e-06  4.64438895e+02  2.09487944e+01  4.65253201e+02 
 1.59301076e-06  4.64661711e+02  2.09405817e+01  4.65475999e+02 
 1.59801076e-06  4.64884439e+02  2.09323628e+01  4.65698709e+02 
 1.60301076e-06  4.65107080e+02  2.09241376e+01  4.65921331e+02 
 1.60801076e-06  4.65329634e+02  2.09159063e+01  4.66143866e+02 
 1.61301076e-06  4.65552099e+02  2.09076688e+01  4.66366313e+02 
 1.61801076e-06  4.65774478e+02  2.08994252e+01  4.66588673e+02 
 1.62301076e-06  4.65996768e+02  2.08911753e+01  4.66810945e+02 
 1.62801076e-06  4.66218971e+02  2.08829193e+01  4.67033129e+02 
 1.63301076e-06  4.66441085e+02  2.08746572e+01  4.67255226e+02 
 1.63801076e-06  4.66663112e+02  2.08663888e+01  4.67477234e+02 
 1.64301076e-06  4.66885051e+02  2.08581143e+01  4.67699154e+02 
