role	group_id	source_row	time	v(acsrc,acn)	v(vd)	v(vb)	v(sw)	v(gate)	i(Lboost)	i(Vchannel)	i(Vbody)	i(Vac)	v(q)	v(en)	v(fault)	v(f2ctl)	v(standby_req)	v(arm)	v(permit)
LEFT	29	26326844	5.73441009064466489e-1	9.40966466175206762e1	3.82824751412802641e2	3.82760058828154683e2	3.84054852175292808e2	-4.61478724589221417e-6	3.88014406627759945e0	3.84054852175292462e-10	1.38935536485613797e-9	-3.88015375766832449e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
GROUP	29	26326845	5.73441009064466600e-1	9.40966466175126470e1	3.82824751412800367e2	3.82760058828154797e2	3.84054852175287408e2	-4.61478729332338682e-6	3.88014406611345208e0	3.84054852175286981e-10	1.39118919945819275e-9	-3.88015375748130964e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
GROUP	29	26326846	5.73441009064466600e-1	9.40966466175126328e1	3.82824751412799117e2	3.82760058828154911e2	3.84054852175284509e2	-4.61478731911960328e-6	3.88014406602349871e0	3.84054852175284138e-10	1.40779722098264741e-9	-3.88015375735886892e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
RIGHT	29	26326847	5.73441009064466711e-1	9.40966466175086254e1	3.82824751412797582e2	3.82760058828155138e2	3.84054852175280928e2	-4.61478735037925086e-6	3.88014406591241201e0	3.84054852175280519e-10	1.40649032636819155e-9	-3.88015375724995693e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
LEFT	30	26472658	5.76601198326131215e-1	-9.63318600286875864e1	3.80511119092592367e2	3.80441281259556149e2	3.81747896024929503e2	-1.05648282773174307e-5	4.23277917376381296e0	3.81747896024929130e-10	1.20392550002088611e-9	4.23279073993587929e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
GROUP	30	26472659	5.76601198326131326e-1	-9.63318600286955160e1	3.80511119092590434e2	3.80441281259556376e2	3.81747896024924955e2	-1.05648283125932732e-5	4.23277917361892442e0	3.81747896024924581e-10	1.19426915414242703e-9	4.23279073980845055e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
GROUP	30	26472660	5.76601198326131326e-1	-9.63318600286955444e1	3.80511119092589411e2	3.80441281259556490e2	3.81747896024922625e2	-1.05648283300506544e-5	4.23277917354215205e0	3.81747896024922254e-10	1.21140005268306763e-9	4.23279073974645659e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
RIGHT	30	26472661	5.76601198326131437e-1	-9.63318600287034741e1	3.80511119092588160e2	3.80441281259556547e2	3.81747896024919498e2	-1.05648283553041794e-5	4.23277917344330046e0	3.81747896024919101e-10	1.25019886893785834e-9	4.23279073958649654e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
LEFT	31	26473063	5.76608950168202794e-1	-9.67397466714841698e1	3.80509344179048355e2	3.80438730401994349e2	3.81747091907225752e2	-1.26808325968960980e-5	4.28524840456191836e0	3.81747091907225389e-10	1.24723539535975448e-9	4.28525992709337888e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
GROUP	31	26473064	5.76608950168202905e-1	-9.67397466714881489e1	3.80509344179046593e2	3.80438730401994462e2	3.81747091907221716e2	-1.26808326258395018e-5	4.28524840443387323e0	3.81747091907221356e-10	1.24601443261180356e-9	4.28525992698804981e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
